term,k,coef,se,pvalue
rel_m4,-4,0.22396604938091008,0.1801443116012357,0.21377238151402134
rel_m3,-3,-0.04629767325333336,0.22276272638497518,0.8353585673139983
rel_m2,-2,0.14921568559040443,0.2044050157640843,0.4653901125848796
rel_m1,-1,0.0,0.0,
rel_p0,0,2.1341638294854066,0.23435292676973474,8.498584362574937e-20
rel_p1,1,2.0746247423074737,0.23160280360261482,3.315689390067866e-19
rel_p2,2,1.7831821205208294,0.2149365231855253,1.0738626318736835e-16
rel_p3,3,1.7610779901343376,0.23105793433144037,2.5015718043714384e-14
